Batch No,Drier,Region
EMB23XD1299L623190P,1,EMBU
EMB23XD4226L362400P,4,EMBU
EMB23XD5228L372420P,5,EMBU
EMB23XD15238L392530P,15,EMBU
EMB23XD14240L402540P,14,EMBU
EMB23XD1248L422620P,1,EMBU
EMB23XD2250L432630P,2,EMBU
MER23XD3252L442650P,3,MERU
EMB23XD4254L452660P,4,EMBU
MER23XD6255L472680P,6,MERU
MER23XD7256L482690P,7,MERU
EMB23XD8256L492690P,8,EMBU
MER23XD9257L502700P,9,MERU
EMB23XD10257L512710P,10,EMBU
EMB23XD12259L532730P,12,EMBU
EMB23XD13268L542830P,13,EMBU
EMB23XD14268L552830P,14,EMBU
EMB23XD15269L562850P,15,EMBU
EMB23XD1273L572900P,1,EMBU
EMB23XD2273L582910P,2,EMBU
EMB23XD3278L592940P,3,EMBU
EMB23XD4289L603040P,4,EMBU
EMB23XD5289L613050P,5,EMBU
EMB23XD4289L603044LP,4,EMBU
MER23XD3252L442655P,3,MERU
EMB23XD5289L613054LP,5,EMBU
EMB23XD4254L452665P,4,EMBU
EMB23XD5254L462675P,5,EMBU
MER23XD6255L472685P,6,MERU
MER23XD7256L482695P,7,MERU
EMB23XD8256L492695P,8,EMBU
MER23XD9257L502705P,9,MERU
EMB23XD10257L512715P,10,EMBU
EMB23XD9257L522725P,9,EMBU
EMB23XD12259L532735P,12,EMBU
EMB23XD13268L542835P,13,EMBU
EMB23XD14268L552835P,14,EMBU
EMB23XD15269L562855P,15,EMBU
EMB23XD1273L572905P,1,EMBU
EMB23XD2273L582915P,2,EMBU
EMB23XD3278L592945P,3,EMBU
EMB23XD4289L603045P,4,EMBU
EMB23XD5289L613055P,5,EMBU
EMB23XD13242L412556P,13,EMBU
EMB23XD1248L422626P,1,EMBU
EMB23XD2250L432636P,2,EMBU
MER23XD3252L442656P,3,MERU
EMB23XD5254L462676P,5,EMBU
EMB23XD4254L452666P,4,EMBU
MER23XD6255L472686P,6,MERU
MER23XD7256L482696P,7,MERU
EMB23XD8256L492696P,8,EMBU
EMB23XD10257L512716P,10,EMBU
EMB23XD12259L532736P,12,EMBU
EMB23XD9257L522726P,9,EMBU
EMB23XD13268L542836P,13,EMBU
EMB23XD14268L552836P,14,EMBU
EMB23XD15269L562856P,15,EMBU
EMB23XD1273L572906P,1,EMBU
EMB23XD3278L592946P,3,EMBU
EMB23XD4289L603046P,4,EMBU
EMB23XD5289L613056P,5,EMBU
RMN01016032D1L5823,1,EMBU
EMB23TD12133L121597P,12,EMBU
EMB23TD14135L141627P,14,EMBU
