ID,End CTN Number,Lot,Number Of CTNs,Package Date ,Pdn Date,Start CTN Number,Style,Weight Received,Weight Balance,Received CTNs ,Unique Code
1,68,124,0,2023-11-17,2023-11-15,66,STYLE 0,22.68,4,2,EMB23XD1299L623190P-L62-P1
2,3187,124,0,2023-11-17,2023-11-15,3155,STYLE 1L,362.88,5.7,32,EMB23XD1299L623190P-L62-P2
3,1101,124,0,2023-11-17,2023-11-15,1093,STYLE 1S,90.72,2.2,8,EMB23XD1299L623190P-L62-P3
4,3802,124,0,2023-11-17,2023-11-15,3759,STYLE 4L,487.62,3,43,EMB23XD1299L623190P-L62-P4
5,3885,124,0,2023-11-17,2023-11-15,3872,STYLE 4R,147.42,9.7,13,EMB23XD1299L623190P-L62-P5
6,946,124,0,2023-11-17,2023-11-15,944,STYLE 5,22.68,6,2,EMB23XD1299L623190P-L62-P6
7,435,124,0,2023-11-17,2023-11-15,434,STYLE 6,11.34,3.2,1,EMB23XD1299L623190P-L62-P7
10,127,124,0,2023-11-17,2023-11-15,0,STYLE CA,1440.18,6.6,127,EMB23XD1299L623190P-L62-P10
11,198,124,0,2023-11-17,2023-11-15,105,STYLE 2,1054.62,0,93,EMB23XD1299L623190P-L62-P11
12,35,125,0,2023-09-01,2023-08-28,34,STYLE 0,11.34,1.6,1,EMB23XD4226L362400P-L36-P12
13,36,126,0,2023-09-01,2023-08-30,35,STYLE 0,11.34,5.1,1,EMB23XD5228L372420P-L37-P13
14,37,127,0,2023-09-11,2023-09-10,36,STYLE 0,11.34,4.4,1,EMB23XD15238L392530P-L39-P14
15,38,128,0,2023-09-11,2023-09-10,37,STYLE 0,11.34,1.4,1,EMB23XD14240L402540P-L40-P15
16,39,129,0,2023-09-20,2023-09-19,38,STYLE 0,11.34,7.5,1,EMB23XD1248L422620P-L42-P16
17,40,130,0,2023-09-21,2023-09-20,39,STYLE 0,11.34,2.8,1,EMB23XD2250L432630P-L43-P17
18,42,131,0,2023-09-23,2023-09-22,40,STYLE 0,22.68,6.4,2,MER23XD3252L442650P-L44-P18
19,43,132,0,2023-09-24,2023-09-23,42,STYLE 0,11,0.1,1,EMB23XD4254L452660P-L45-P19
20,45,133,0,2023-09-26,2023-09-26,43,STYLE 0,11.34,5.1,1,MER23XD6255L472680P-L47-P20
21,45,133,0,2023-09-27,2023-09-25,44,STYLE 0,11.34,0,1,MER23XD6255L472680P-L47-P21
22,47,134,0,2023-09-27,2023-09-26,45,STYLE 0,22.68,10,2,MER23XD7256L482690P-L48-P22
23,48,135,0,2023-09-28,2023-09-26,47,STYLE 0,11.34,0.2,1,EMB23XD8256L492690P-L49-P23
24,50,136,0,2023-09-29,2023-09-30,48,STYLE 0,22.68,8.5,2,MER23XD9257L502700P-L50-P24
25,51,137,0,2023-10-01,2023-09-28,50,STYLE 0,11.34,4.8,1,EMB23XD10257L512710P-L51-P25
26,52,138,0,2023-10-02,2023-09-30,51,STYLE 0,11.34,0,1,EMB23XD12259L532730P-L53-P26
27,54,139,0,2023-10-11,2023-10-10,52,STYLE 0,22.68,2.7,2,EMB23XD13268L542830P-L54-P27
28,56,140,0,2023-10-17,2023-10-17,54,STYLE 0,22.68,5.6,2,EMB23XD14268L552830P-L55-P28
29,57,141,0,2023-10-17,2023-10-12,56,STYLE 0,11.34,2.7,1,EMB23XD15269L562850P-L56-P29
30,58,142,0,2023-10-17,2023-10-17,57,STYLE 0,11.34,6.5,1,EMB23XD1273L572900P-L57-P30
31,59,142,0,2023-10-19,2023-10-17,58,STYLE 0,11.34,3.9,1,EMB23XD1273L572900P-L57-P31
32,60,143,0,2023-10-19,2023-10-18,59,STYLE 0,11.34,3.9,1,EMB23XD2273L582910P-L58-P32
33,61,143,0,2023-10-21,2023-10-18,60,STYLE 0,11.34,0,1,EMB23XD2273L582910P-L58-P33
34,62,144,0,2023-10-23,2023-10-21,61,STYLE 0,11.34,0.3,1,EMB23XD3278L592940P-L59-P34
35,65,147,0,2023-11-02,2023-10-31,63,STYLE 0,34.02,0.1,3,EMB23XD4289L603040P-L60-P35
36,66,146,0,2023-11-02,2023-11-01,65,STYLE 0,11.34,2.5,1,EMB23XD5289L613050P-L61-P36
37,901,146,0,2023-09-24,2023-09-22,900,STYLE 5,11.34,10.9,1,MER23XD3252L442655P-L44-P37
38,3696,147,0,2023-11-02,2023-10-31,3687,STYLE 4L,102.06,0,9,EMB23XD4289L603044LP-L60-P38
39,3702,146,0,2023-11-02,2023-11-01,3696,STYLE 4L,68.04,5.1,6,EMB23XD5289L613054LP-L61-P39
40,3714,147,0,2023-11-02,2023-10-31,3702,STYLE 4L,136.08,0,12,EMB23XD4289L603044LP-L60-P40
41,3745,146,0,2023-11-03,2023-11-01,3714,STYLE 4L,351.54,7.4,31,EMB23XD5289L613054LP-L61-P41
42,3751,147,0,2023-11-02,2023-10-31,3745,STYLE 4L,68.04,8,6,EMB23XD4289L603044LP-L60-P42
43,3759,146,0,2023-11-02,2023-11-01,3751,STYLE 4L,90.72,1.9,8,EMB23XD5289L613054LP-L61-P43
44,904,154,0,2023-09-23,2023-09-25,901,STYLE 5,34.02,4,3,EMB23XD4254L452665P-L45-P44
45,905,154,0,2023-09-23,2023-09-25,904,STYLE 5,11.34,0.6,1,EMB23XD4254L452665P-L45-P45
46,906,155,0,2023-09-29,2023-09-24,905,STYLE 5,11.34,0,1,EMB23XD5254L462675P-L46-P46
47,907,156,0,2023-09-29,2023-09-25,906,STYLE 5,11.34,4.3,1,MER23XD6255L472685P-L47-P47
48,909,157,0,2023-09-30,2023-09-26,907,STYLE 5,22.68,0.7,2,MER23XD7256L482695P-L48-P48
49,914,158,0,2023-09-30,2023-09-26,909,STYLE 5,56.7,2,5,EMB23XD8256L492695P-L49-P49
50,915,159,0,2023-10-02,2023-09-27,914,STYLE 5,11.34,0,1,MER23XD9257L502705P-L50-P50
51,917,160,0,2023-10-02,2023-09-28,915,STYLE 5,22.68,2.3,2,EMB23XD10257L512715P-L51-P51
52,920,160,0,2023-10-03,2023-09-28,917,STYLE 5,34.02,2.7,3,EMB23XD10257L512715P-L51-P52
53,922,161,0,2023-10-03,2023-09-29,920,STYLE 5,22.68,4.5,2,EMB23XD9257L522725P-L52-P53
54,926,162,0,2023-10-05,2023-09-30,922,STYLE 5,45.36,3.1,4,EMB23XD12259L532735P-L53-P54
55,927,162,0,2023-10-07,2023-09-30,926,STYLE 5,11.34,0,1,EMB23XD12259L532735P-L53-P55
56,930,163,0,2023-10-12,2023-10-10,927,STYLE 5,34.02,7.3,3,EMB23XD13268L542835P-L54-P56
57,931,164,0,2023-10-19,2023-10-10,930,STYLE 5,11.34,11,1,EMB23XD14268L552835P-L55-P57
58,935,165,0,2023-10-19,2023-10-12,931,STYLE 5,45.36,0.2,4,EMB23XD15269L562855P-L56-P58
59,936,166,0,2023-10-19,2023-10-17,935,STYLE 5,11.34,5.2,1,EMB23XD1273L572905P-L57-P59
60,938,167,0,2023-10-21,2023-10-18,936,STYLE 5,22.68,5.8,2,EMB23XD2273L582915P-L58-P60
61,941,168,0,2023-10-24,2023-10-21,938,STYLE 5,34.02,10.7,3,EMB23XD3278L592945P-L59-P61
62,942,169,0,2023-11-04,2023-10-31,941,STYLE 5,11.34,3.4,1,EMB23XD4289L603045P-L60-P62
63,944,170,0,2023-11-04,2023-11-01,942,STYLE 5,22.68,3.1,2,EMB23XD5289L613055P-L61-P63
64,402,171,0,2023-09-14,2023-09-12,400,STYLE 6,22.68,4.3,2,EMB23XD13242L412556P-L41-P64
65,403,172,0,2023-09-21,2023-09-19,402,STYLE 6,11.34,6.5,1,EMB23XD1248L422626P-L42-P65
66,405,173,0,2023-09-23,2023-09-20,403,STYLE 6,22.68,5,2,EMB23XD2250L432636P-L43-P66
67,406,174,0,2023-09-24,2023-09-22,405,STYLE 6,11.34,5.9,1,MER23XD3252L442656P-L44-P67
68,407,176,0,2023-09-25,2023-09-23,406,STYLE 6,11.34,6.9,1,EMB23XD4254L452666P-L45-P68
69,408,175,0,2023-09-25,2023-09-24,407,STYLE 6,11.34,10.7,1,EMB23XD5254L462676P-L46-P69
70,409,175,0,2023-09-26,2023-09-24,408,STYLE 6,11.34,2.1,1,EMB23XD5254L462676P-L46-P70
71,410,178,0,2023-09-29,2023-09-25,409,STYLE 6,11.34,0.7,1,MER23XD6255L472686P-L47-P71
72,411,179,0,2023-09-30,2023-09-26,410,STYLE 6,11.34,0.7,1,MER23XD7256L482696P-L48-P72
73,412,180,0,2023-09-30,2023-09-26,411,STYLE 6,11.34,3.9,1,EMB23XD8256L492696P-L49-P73
74,413,181,0,2023-10-02,2023-09-28,412,STYLE 6,11.34,10.4,1,EMB23XD10257L512716P-L51-P74
75,424,182,0,2023-10-02,2023-09-30,413,STYLE 6,124.74,0,11,EMB23XD12259L532736P-L53-P75
76,425,181,0,2023-10-03,2023-09-28,424,STYLE 6,11.34,0,1,EMB23XD10257L512716P-L51-P76
77,426,184,0,2023-10-03,2023-09-29,425,STYLE 6,11.34,6.4,1,EMB23XD9257L522726P-L52-P77
78,427,182,0,2023-10-05,2023-09-30,426,STYLE 6,11.34,9.2,1,EMB23XD12259L532736P-L53-P78
79,428,185,0,2023-10-12,2023-10-10,427,STYLE 6,11.34,7.2,1,EMB23XD13268L542836P-L54-P79
80,429,186,0,2023-10-19,2023-10-10,428,STYLE 6,11.34,11.15,1,EMB23XD14268L552836P-L55-P80
81,430,187,0,2023-10-19,2023-10-12,429,STYLE 6,11.34,2.3,1,EMB23XD15269L562856P-L56-P81
82,431,188,0,2023-10-19,2023-10-17,430,STYLE 6,11.34,7,1,EMB23XD1273L572906P-L57-P82
83,432,189,0,2023-10-24,2023-10-21,431,STYLE 6,11.34,7.5,1,EMB23XD3278L592946P-L59-P83
84,433,190,0,2023-11-04,2023-10-31,432,STYLE 6,11.34,4.1,1,EMB23XD4289L603046P-L60-P84
85,434,191,0,2023-11-04,2023-11-01,433,STYLE 6,11.34,7.8,1,EMB23XD5289L613056P-L61-P85
86,1,192,0,2023-02-16,2023-02-01,0,STYLE S7,11.34,0.62,1,RMN01016032D1L5823-L58-P86
87,8,193,0,2023-06-10,2023-06-08,1,STYLE S7,79.38,0.7,7,EMB23TD12133L121597P-L12-P87
88,10,194,0,2023-06-16,2023-06-11,8,STYLE S7,22.68,3.4,2,EMB23TD14135L141627P-L14-P88
